Indicator,Urban,Rural,Total,Total NFHS4,State
128. Women age 15 years and above who use any kind of tobacco (%),2.4,3.3,2.9,,Dadra & Nagar Haveli
129. Men age 15 years and above who use any kind of tobacco (%),39.6,37.5,38.6,,Dadra & Nagar Haveli
130. Women age 15 years and above who consume alcohol (%),0.5,1.6,1.1,,Dadra & Nagar Haveli
131. Men age 15 years and above who consume alcohol (%),29.1,26.5,27.8,,Dadra & Nagar Haveli
Population and Household Profile,,,,,Jammu & Kashmir
1. Female population age 6 years and above who ever attended school (%),76,67.9,70.1,65.7,Jammu & Kashmir
2. Population below age 15 years (%),21.1,25.2,24.1,27.4,Jammu & Kashmir
"3. Sex ratio of the total population (females per 1,000 males)",961,944,948,971,Jammu & Kashmir
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",978,976,976,923,Jammu & Kashmir
5. Children under age 5 years whose birth was registered with the civil authority (%),97.8,94.6,95.3,77.4,Jammu & Kashmir
6. Deaths in the last 3 years registered with the civil authority (%),83.4,73.9,76.2,,Jammu & Kashmir
7. Population living in households with electricity (%),99.9,99,99.3,97.2,Jammu & Kashmir
8. Population living in households with an improved drinking-water source1  (%),98.3,89.6,91.9,89.1,Jammu & Kashmir
9. Population living in households that use an improved sanitation facility2 (%),85.6,72.3,75.7,53.8,Jammu & Kashmir
10. Households using clean fuel for cooking3  (%),95.8,58.9,69.2,57.5,Jammu & Kashmir
11. Households using iodized salt (%),99,97.7,98.1,95.4,Jammu & Kashmir
12. Households with any usual member covered under a health insurance/financing scheme (%),19.2,10.2,12.7,4.3,Jammu & Kashmir
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4,0.9,1.6,,Jammu & Kashmir
Characteristics of Adults (age 15-49 years),,,,,Jammu & Kashmir
14. Women who are literate4  (%),84.3,74.7,77.3,,Jammu & Kashmir
15. Men who are literate4  (%),91.8,91.4,91.5,,Jammu & Kashmir
16. Women with 10 or more years of schooling (%),65.1,46.2,51.3,37.1,Jammu & Kashmir
17. Men with 10 or more years of schooling (%),73.8,66,68.2,49,Jammu & Kashmir
18. Women who have ever used the internet (%),55,38.9,43.3,,Jammu & Kashmir
19. Men who have ever used the internet (%),79.4,68.8,72,,Jammu & Kashmir
Marriage and Fertility,,,,,Jammu & Kashmir
20. Women age 20-24 years married before age 18 years (%),2,5.3,4.5,8.7,Jammu & Kashmir
21. Men age 25-29 years married before age 21 years (%),9.6,8.2,8.5,10.5,Jammu & Kashmir
22. Total fertility rate (children per woman),1.2,1.5,1.4,2,Jammu & Kashmir
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.5,1.1,1,3,Jammu & Kashmir
24. Adolescent fertility rate for women age 15-19 years5,5,10,9,19,Jammu & Kashmir
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Jammu & Kashmir
25. Neonatal mortality rate (NNMR),7.5,10.5,9.8,23.1,Jammu & Kashmir
26. Infant mortality rate (IMR),14.7,16.7,16.3,32.4,Jammu & Kashmir
27. Under-five mortality rate (U5MR),15.7,19.4,18.5,37.6,Jammu & Kashmir
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Jammu & Kashmir
28. Any method6  (%),59.2,60,59.8,57.1,Jammu & Kashmir
29. Any modern method6  (%),53.5,52.1,52.5,45.8,Jammu & Kashmir
30. Female sterilization (%),21.6,20.9,21.1,24.4,Jammu & Kashmir
31. Male sterilization (%),0.4,0.3,0.3,0.4,Jammu & Kashmir
32. IUD/PPIUD (%),7.2,5.4,5.9,2.4,Jammu & Kashmir
33. Pill (%),7.7,9.5,9,6.3,Jammu & Kashmir
34. Condom (%),11.6,11.7,11.7,11.3,Jammu & Kashmir
35. Injectables (%),4,3.4,3.6,0.9,Jammu & Kashmir
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,Jammu & Kashmir
36. Total unmet need7 (%),6.1,8.4,7.8,12.4,Jammu & Kashmir
37. Unmet need for spacing7  (%),3.2,4.1,3.9,5.8,Jammu & Kashmir
Quality of Family Planning Services,,,,,Jammu & Kashmir
38. Health worker ever talked to female non-users about family planning (%),11.6,10.9,11.1,9.6,Jammu & Kashmir
39. Current users ever told about side effects of current method8  (%),71.5,61.5,64,38.5,Jammu & Kashmir
Maternal and Child Health,,,,,Jammu & Kashmir
Maternity Care (for last birth in the 5 years before the survey),,,,,Jammu & Kashmir
40. Mothers who had an antenatal check-up in the first trimester (%),90,85.5,86.6,76.7,Jammu & Kashmir
41. Mothers who had at least 4 antenatal care visits (%),83.1,80.2,80.9,81.2,Jammu & Kashmir
42. Mothers whose last birth was protected against neonatal tetanus9  (%),94.4,91.1,91.9,87.3,Jammu & Kashmir
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),34,28.5,29.8,30.2,Jammu & Kashmir
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.6,14.1,15.9,16.7,Jammu & Kashmir
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.3,97.3,97.3,88.7,Jammu & Kashmir
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.4,82.6,84.2,74.7,Jammu & Kashmir
47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,680","4,971","5,145","4,225",Jammu & Kashmir
48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,3.5,3.3,1,Jammu & Kashmir
49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.6,80.2,81.5,,Jammu & Kashmir
Delivery Care (for births in the 5 years before the survey),,,,,Jammu & Kashmir
50. Institutional births (%),98.6,90.5,92.4,85.5,Jammu & Kashmir
51. Institutional births in public facility (%),87.4,86.6,86.8,77.9,Jammu & Kashmir
52. Home births that were conducted by skilled health personnel10  (%),0.6,3.8,3,2.2,Jammu & Kashmir
53. Births attended by skilled health personnel10  (%),98.8,94,95.1,87.4,Jammu & Kashmir
54. Births delivered by caesarean section (%),54.7,37.8,41.7,33.4,Jammu & Kashmir
55. Births in a private health facility that were delivered by caesarean section (%),91,74.4,82.1,75.5,Jammu & Kashmir
56. Births in a public health facility that were delivered by caesarean section (%),50.9,40.2,42.7,35.5,Jammu & Kashmir
Child Vaccinations and Vitamin A Supplementation,,,,,Jammu & Kashmir
57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11  (%),83,87.2,86.2,75,Jammu & Kashmir
58. Children age 12-23 months fully vaccinated based on information from vaccination card only12  (%),99.8,95.6,96.5,84.4,Jammu & Kashmir
59. Children age 12-23 months who have received BCG (%),91,96.4,95.1,95.6,Jammu & Kashmir
60. Children age 12-23 months who have received 3 doses of polio vaccine13  (%),83,89,87.6,83.8,Jammu & Kashmir
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90,93.6,92.8,88.1,Jammu & Kashmir
62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.7,92.6,91.7,86.1,Jammu & Kashmir
63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),36.5,32,33.1,,Jammu & Kashmir
64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14  (%),4,5.7,5.3,,Jammu & Kashmir
65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88,92.4,91.4,70.1,Jammu & Kashmir
66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),85.6,80.9,82,64.6,Jammu & Kashmir
67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.8,99.2,99.1,97.5,Jammu & Kashmir
68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.2,0.2,0.4,2.2,Jammu & Kashmir
Treatment of Childhood Diseases (children under age 5 years),,,,,Jammu & Kashmir
69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.4,6.3,5.6,7.6,Jammu & Kashmir
70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),81.2,80.7,80.8,69.1,Jammu & Kashmir
71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),50.5,50.5,50.5,39.3,Jammu & Kashmir
72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.1,74.7,74.9,74.2,Jammu & Kashmir
73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9,4.1,3.9,5.5,Jammu & Kashmir
74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.7,62.1,62.3,78.5,Jammu & Kashmir
Child Feeding Practices and Nutritional Status of Children,,,,,Jammu & Kashmir
75. Children under age 3 years breastfed within one hour of birth15  (%),54.9,55.9,55.6,45.7,Jammu & Kashmir
76. Children under age 6 months exclusively breastfed16  (%),68.1,59.9,62,65.4,Jammu & Kashmir
77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16  (%),44.3,41,41.8,50.2,Jammu & Kashmir
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17   (%)",11.9,12.5,12.4,21.8,Jammu & Kashmir
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",15,24.5,22.2,32,Jammu & Kashmir
"80. Total children age 6-23 months receiving an adequate diet16, 17   (%)",12.3,14,13.6,23.5,Jammu & Kashmir
81. Children under 5 years who are stunted (height-for-age)18  (%),30.1,25.9,26.9,27.4,Jammu & Kashmir
82. Children under 5 years who are wasted (weight-for-height)18  (%),17.6,19.4,19,12.2,Jammu & Kashmir
83. Children under 5 years who are severely wasted (weight-for-height)19  (%),9.6,9.7,9.7,5.6,Jammu & Kashmir
84. Children under 5 years who are underweight (weight-for-age)18  (%),19.4,21.5,21,16.6,Jammu & Kashmir
85. Children under 5 years who are overweight (weight-for-height)20  (%),10.8,9.3,9.6,5.7,Jammu & Kashmir
Nutritional Status of Adults (age 15-49 years),,,,,Jammu & Kashmir
86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21  (%),3.7,5.8,5.2,12.2,Jammu & Kashmir
87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),2.5,5,4.3,11.5,Jammu & Kashmir
88. Women who are overweight or obese (BMI ?25.0 kg/m2)21  (%),33.4,27.9,29.3,29.3,Jammu & Kashmir
89. Men who are overweight or obese (BMI ?25.0 kg/m2) (%),40.8,28.2,31.6,20.5,Jammu & Kashmir
90. Women who have high risk waist-to-hip ratio (?0.85) (%),89.2,87.3,87.8,,Jammu & Kashmir
91. Men who have high risk waist-to-hip ratio (?0.90) (%),66,58.7,60.7,,Jammu & Kashmir
Anaemia among Children and Adults,,,,,Jammu & Kashmir
92. Children age 6-59 months who are anaemic (<11.0 g/dl)22  (%),70.1,73.5,72.7,53.8,Jammu & Kashmir
93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22  (%),62.5,69,67.3,49,Jammu & Kashmir
94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22  (%),44.1,44.1,44.1,46.9,Jammu & Kashmir
95. All women age 15-49 years who are anaemic22  (%),61.4,67.5,65.9,48.9,Jammu & Kashmir
96. All women age 15-19 years who are anaemic22  (%),71.5,77.5,76.2,49.9,Jammu & Kashmir
97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),28,40,36.7,20.4,Jammu & Kashmir
98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),37.9,60.1,53.5,29.5,Jammu & Kashmir
Blood Sugar Level among Adults (age 15 years and above),,,,,Jammu & Kashmir
Women,,,,,Jammu & Kashmir
99.   Blood sugar level - high (141-160 mg/dl)23 (%),3.9,4.3,4.2,,Jammu & Kashmir
100. Blood sugar level - very high (>160 mg/dl)23 (%),3.4,3,3.1,,Jammu & Kashmir
101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),9.2,8.6,8.7,,Jammu & Kashmir
Men,,,,,Jammu & Kashmir
102. Blood sugar level - high (141-160 mg/dl)23 (%),4,4.4,4.3,,Jammu & Kashmir
103. Blood sugar level - very high (>160 mg/dl)23  (%),2.9,2.7,2.7,,Jammu & Kashmir
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),8.1,8,8,,Jammu & Kashmir
Hypertension among Adults (age 15 years and above),,,,,Jammu & Kashmir
Women,,,,,Jammu & Kashmir
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.4,11.8,11.7,,Jammu & Kashmir
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",3,3.1,3,,Jammu & Kashmir
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",21.2,19.6,20,,Jammu & Kashmir
Men,,,,,Jammu & Kashmir
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.5,12.2,12.3,,Jammu & Kashmir
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",2.8,2.7,2.8,,Jammu & Kashmir
"110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",20.1,18.5,18.9,,Jammu & Kashmir
Screening for Cancer among Adults (age 30-49 years),,,,,Jammu & Kashmir
Women,,,,,Jammu & Kashmir
111. Ever undergone a screening test for cervical cancer (%),0.3,0.6,0.5,,Jammu & Kashmir
112. Ever undergone a breast examination for breast cancer (%),0.1,0.4,0.3,,Jammu & Kashmir
113. Ever undergone an oral cavity examination for oral cancer (%),0.1,0.9,0.7,,Jammu & Kashmir
Men,,,,,Jammu & Kashmir
114. Ever undergone an oral cavity examination for oral cancer (%),0.1,1.6,1.1,,Jammu & Kashmir
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,Jammu & Kashmir
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),17.4,15.2,15.8,18.9,Jammu & Kashmir
116. Men who have comprehensive knowledge24  of HIV/AIDS (%),27.3,36,33.6,24.6,Jammu & Kashmir
117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),72,62.7,65.3,68.5,Jammu & Kashmir
118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),65.5,78.1,74.6,83.7,Jammu & Kashmir
Women's Empowerment (women age 15-49 years),,,,,Jammu & Kashmir
119. Currently married women who usually participate in three household decisions25 (%),81.3,81.7,81.6,84,Jammu & Kashmir
120. Women who worked in the last 12 months and were paid in cash (%),18.1,18.5,18.4,12.3,Jammu & Kashmir
121. Women owning a house and/or land (alone or jointly with others) (%),48.2,60.8,57.3,33.1,Jammu & Kashmir
122. Women having a bank or savings account that they themselves use (%),88.5,83.5,84.9,60,Jammu & Kashmir
123. Women having a mobile phone that they themselves use (%),80.4,73.3,75.2,53.9,Jammu & Kashmir
124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26  (%),85.8,69.6,73.4,66.6,Jammu & Kashmir
Gender Based Violence (age 18-49 years),,,,,Jammu & Kashmir
125. Ever-married women age 18-49 years who have ever experienced spousal violence27  (%),5.9,11,9.6,9.4,Jammu & Kashmir
126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.3,1.6,1.2,1.3,Jammu & Kashmir
127. Young women age 18-29 years who experienced sexual violence by age 18 (%),1.4,5,4,3.1,Jammu & Kashmir
Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,,,Jammu & Kashmir
128. Women age 15 years and above who use any kind of tobacco (%),1.8,4.2,3.6,,Jammu & Kashmir
129. Men age 15 years and above who use any kind of tobacco (%),32,40.6,38.3,,Jammu & Kashmir
130. Women age 15 years and above who consume alcohol (%),0.1,0.2,0.2,,Jammu & Kashmir
131. Men age 15 years and above who consume alcohol (%),7.7,9.2,8.8,,Jammu & Kashmir
Population and Household Profile,,,,,Ladakh
1. Female population age 6 years and above who ever attended school (%),68.7,67.8,68,62.5,Ladakh
2. Population below age 15 years (%),22.9,22.8,22.8,28,Ladakh
"3. Sex ratio of the total population (females per 1,000 males)",994,966,971,"1,000",Ladakh
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",897,"1,193","1,125",823,Ladakh
5. Children under age 5 years whose birth was registered with the civil authority (%),100,98.2,98.6,77.3,Ladakh
6. Deaths in the last 3 years registered with the civil authority (%),82.9,72.4,74.9,,Ladakh
